checkpoint_id,scope,relative_path,filename,size_bytes,sha256,safe_load_status,top_level_type,top_level_keys,state_dict_prefix,tensor_count,parameter_tensor_count,primary_category,suspected_mu,suspected_epoch,suspected_model,has_reg_head,has_cls_head,has_light_branch,num_classes,regression_output_dimension,reg_head_shape,cls_head_shape,model_compatible,has_optimizer,has_epoch,has_config,additional_flags,notes
sha256:1b5a49ed0ae1535cd30f,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_28.pth,checkpoint_epoch_28.pth,97552805,1b5a49ed0ae1535cd30f1f265f5c1d7cc439651e65758b20235e0c755ba86a51,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,28,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:754fda092ea3248dfd7f,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_29.pth,checkpoint_epoch_29.pth,97552805,754fda092ea3248dfd7ffe19f6bbf6ef4a1c41aa38b3648500fbb06ff6d696b9,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,29,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:36c94af3f8c3faca68a7,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_3.pth,checkpoint_epoch_3.pth,97551360,36c94af3f8c3faca68a79a32f5a21bd3bfe30854cc2a5bf35d784a116d828f87,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,3,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:04ea2639f0b6b172b9b0,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_30.pth,checkpoint_epoch_30.pth,97552805,04ea2639f0b6b172b9b07fe1a6140f2c7b91f2971dab604c8021843051686ce5,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,30,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:87aa28ff2277e94f782f,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_31.pth,checkpoint_epoch_31.pth,97552805,87aa28ff2277e94f782f33123b0c1ef033d4fbb5d3d7d83c8035558388fc01fc,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,31,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:6ae840911fe7a07e42d2,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_32.pth,checkpoint_epoch_32.pth,97552805,6ae840911fe7a07e42d262770a5c82c114bfc8337bc83a94b9c7adc1e5e75680,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,32,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:f5a9b896e0a6170114e3,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_33.pth,checkpoint_epoch_33.pth,97552805,f5a9b896e0a6170114e34a138ddc1d05a7412c5ffc5f0a1e58c3792fcbf478a3,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,33,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:a468769dcd6d47f5c74a,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_34.pth,checkpoint_epoch_34.pth,97552805,a468769dcd6d47f5c74a235f40f0876099f91d2d7a715eaba29171a4ca069f81,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,34,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:1bf696867b212d220474,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_35.pth,checkpoint_epoch_35.pth,97552805,1bf696867b212d2204747344cd223c808bab40f5309ad06269456aacdf5a6e55,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,35,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:debf984fab8ae9cc7a8c,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_36.pth,checkpoint_epoch_36.pth,97552805,debf984fab8ae9cc7a8c6c1dcbd6f3cea961ea9a5699c00273433f33454762e2,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,36,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:a2f84e544674bd449c7e,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_37.pth,checkpoint_epoch_37.pth,97552805,a2f84e544674bd449c7e92a13885700ec3f8cf902c3840467f0e7cf36386a9a4,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,37,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:8e695b59bf2142e6c6d4,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_38.pth,checkpoint_epoch_38.pth,97552805,8e695b59bf2142e6c6d4a4f04262addf85090a94ae5cb5ee6eb70479cfac3dfc,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,38,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:ad67cbc3e257852f231d,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_39.pth,checkpoint_epoch_39.pth,97552805,ad67cbc3e257852f231debc5f977edd5c15dc97f055ff6842303b7bf73a8a5ef,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,39,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:74e7f8d1feb67698437e,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_4.pth,checkpoint_epoch_4.pth,97551360,74e7f8d1feb67698437efe836b2908b5895bcb6847c7b2478ed0a4da3f302452,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,4,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
sha256:8e4e6a2bab83b136836e,CHECKPOINT_ROOT,checkpoints_massive/checkpoint_epoch_40.pth,checkpoint_epoch_40.pth,97552805,8e4e6a2bab83b136836e69d45552a5d925be48e46bb840def45b554da62db6d9,SAFE_LOAD_OK,dict,epoch;model_state_dict;optimizer_state_dict,model_state_dict,511,310,FULL_TRAINING_STATE,,40,UNKNOWN,False,False,False,,,,,False,True,True,False,HAS_OPTIMIZER;HAS_EPOCH,Parameter tensor count excludes running statistics/counters; classification uses normalized keys and source evidence.
