experiment,source_file,architecture,component,initialization,external_pretraining,checkpoint_loaded,strict_load,fair_comparison
FINETUNE_TINYIMAGENET_MU25,finetune_tinyImage_mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU25,finetune_tinyImage_mu=25.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU25,finetune_tinyImage_mu=25.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU27,finetune_tinyImage_mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU27,finetune_tinyImage_mu=27.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU27,finetune_tinyImage_mu=27.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU30,finetune_tinyImage_mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU30,finetune_tinyImage_mu=30.ipynb,mobilevitv2_050,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU30,finetune_tinyImage_mu=30.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
FINETUNE_TINYIMAGENET_MU33,finetune_tinyImage_mu=33.ipynb,mobilenetv2_100.ra_in1k,backbone_or_baseline,IMAGENET_PRETRAINED,True,True,FALSE,NOT_ESTABLISHED
