checkpoint_id,source,relative_path,filename,size_bytes,sha256,top_level_keys,structure,epoch_if_available,model_name_if_available,mu_if_available,metric_if_available,optimizer_state_present,compatible_model,matching_legacy_sha256,suspected_notebook,status,inspect_error
sha256:94f99a3efdeb2094bb30,LOCAL,checkpoints_massive/best_model.pth,best_model.pth,32712893,94f99a3efdeb2094bb305b0362338eb053c17c8cb4b81f9529e95c45822894ed,stem.0.weight;stem.1.weight;stem.1.bias;stem.1.running_mean;stem.1.running_var;stem.1.num_batches_tracked;body.0.conv.0.weight;body.0.conv.1.weight;body.0.conv.1.bias;body.0.conv.1.running_mean;body.0.conv.1.running_var;body.0.conv.1.num_batches_tracked;body.0.conv.3.weight;body.0.conv.4.weight;body.0.conv.4.bias;body.0.conv.4.running_mean;body.0.conv.4.running_var;body.0.conv.4.num_batches_tracked;body.0.conv.6.weight;body.0.conv.7.weight;body.0.conv.7.bias;body.0.conv.7.running_mean;body.0.conv.7.running_var;body.0.conv.7.num_batches_tracked;body.0.se.1.weight;body.0.se.1.bias;body.0.se.3.weight;body.0.se.3.bias;body.1.conv.0.weight;body.1.conv.1.weight;body.1.conv.1.bias;body.1.conv.1.running_mean;body.1.conv.1.running_var;body.1.conv.1.num_batches_tracked;body.1.conv.3.weight;body.1.conv.4.weight;body.1.conv.4.bias;body.1.conv.4.running_mean;body.1.conv.4.running_var;body.1.conv.4.num_batches_tracked;body.1.conv.6.weight;body.1.conv.7.weight;body.1.conv.7.bias;body.1.conv.7.running_mean;body.1.conv.7.running_var;body.1.conv.7.num_batches_tracked;body.1.se.1.weight;body.1.se.1.bias;body.1.se.3.weight;body.1.se.3.bias;body.2.conv.0.weight;body.2.conv.1.weight;body.2.conv.1.bias;body.2.conv.1.running_mean;body.2.conv.1.running_var;body.2.conv.1.num_batches_tracked;body.2.conv.3.weight;body.2.conv.4.weight;body.2.conv.4.bias;body.2.conv.4.running_mean;body.2.conv.4.running_var;body.2.conv.4.num_batches_tracked;body.2.conv.6.weight;body.2.conv.7.weight;body.2.conv.7.bias;body.2.conv.7.running_mean;body.2.conv.7.running_var;body.2.conv.7.num_batches_tracked;body.2.se.1.weight;body.2.se.1.bias;body.2.se.3.weight;body.2.se.3.bias;body.3.conv.0.weight;body.3.conv.1.weight;body.3.conv.1.bias;body.3.conv.1.running_mean;body.3.conv.1.running_var;body.3.conv.1.num_batches_tracked;body.3.conv.3.weight;body.3.conv.4.weight;body.3.conv.4.bias;body.3.conv.4.running_mean;body.3.conv.4.running_var;body.3.conv.4.num_batches_tracked;body.3.conv.6.weight;body.3.conv.7.weight;body.3.conv.7.bias;body.3.conv.7.running_mean;body.3.conv.7.running_var;body.3.conv.7.num_batches_tracked;body.3.se.1.weight;body.3.se.1.bias;body.3.se.3.weight;body.3.se.3.bias;body.4.conv.0.weight;body.4.conv.1.weight;body.4.conv.1.bias;body.4.conv.1.running_mean;body.4.conv.1.running_var;body.4.conv.1.num_batches_tracked,raw_state_dict,,,,,False,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:d8e10b6d75ae992cdc59,LOCAL,checkpoints_massive/checkpoint_epoch_27.pth,checkpoint_epoch_27.pth,97552805,d8e10b6d75ae992cdc59204b871ac2441e2e72624f07a8c8ffbbcdce480960b9,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,27,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:1b5a49ed0ae1535cd30f,LOCAL,checkpoints_massive/checkpoint_epoch_28.pth,checkpoint_epoch_28.pth,97552805,1b5a49ed0ae1535cd30f1f265f5c1d7cc439651e65758b20235e0c755ba86a51,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,28,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:754fda092ea3248dfd7f,LOCAL,checkpoints_massive/checkpoint_epoch_29.pth,checkpoint_epoch_29.pth,97552805,754fda092ea3248dfd7ffe19f6bbf6ef4a1c41aa38b3648500fbb06ff6d696b9,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,29,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:36c94af3f8c3faca68a7,LOCAL,checkpoints_massive/checkpoint_epoch_3.pth,checkpoint_epoch_3.pth,97551360,36c94af3f8c3faca68a79a32f5a21bd3bfe30854cc2a5bf35d784a116d828f87,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,3,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:04ea2639f0b6b172b9b0,LOCAL,checkpoints_massive/checkpoint_epoch_30.pth,checkpoint_epoch_30.pth,97552805,04ea2639f0b6b172b9b07fe1a6140f2c7b91f2971dab604c8021843051686ce5,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,30,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:87aa28ff2277e94f782f,LOCAL,checkpoints_massive/checkpoint_epoch_31.pth,checkpoint_epoch_31.pth,97552805,87aa28ff2277e94f782f33123b0c1ef033d4fbb5d3d7d83c8035558388fc01fc,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,31,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:6ae840911fe7a07e42d2,LOCAL,checkpoints_massive/checkpoint_epoch_32.pth,checkpoint_epoch_32.pth,97552805,6ae840911fe7a07e42d262770a5c82c114bfc8337bc83a94b9c7adc1e5e75680,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,32,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:f5a9b896e0a6170114e3,LOCAL,checkpoints_massive/checkpoint_epoch_33.pth,checkpoint_epoch_33.pth,97552805,f5a9b896e0a6170114e34a138ddc1d05a7412c5ffc5f0a1e58c3792fcbf478a3,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,33,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:a468769dcd6d47f5c74a,LOCAL,checkpoints_massive/checkpoint_epoch_34.pth,checkpoint_epoch_34.pth,97552805,a468769dcd6d47f5c74a235f40f0876099f91d2d7a715eaba29171a4ca069f81,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,34,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
sha256:1bf696867b212d220474,LOCAL,checkpoints_massive/checkpoint_epoch_35.pth,checkpoint_epoch_35.pth,97552805,1bf696867b212d2204747344cd223c808bab40f5309ad06269456aacdf5a6e55,epoch;model_state_dict;optimizer_state_dict,dict containing model_state_dict,35,,,,True,STATE_DICT_UNMAPPED,,TO_MAP_BY_EXPERIMENT_GRAPH,UNKNOWN_PROVENANCE,
