scope_c_artifact,scope_c_sha256,matched_scope,matched_path,matched_sha256,byte_identical,classification,lineage_implication
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_25.0.pth,2e99ab79687e5ad3082e440ed7bcea6a0e2cf5c353464fdf91d13f694d5694ab,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_27.0.pth,3d43b479b9ec4ab16d920fc4a346fad39b17a72ae9bd087c98752d2b7e2c15e1,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_30.0.pth,0be5dc49b6a42db11182a4a2fdf8913e4b57841e3059f0cc99e6206dd9feb453,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_33.0.pth,59f09f208791035d58fb46ca3fb61c56a342402fa1a13dd3a1027af1c8298a16,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_40.0.pth,01ed4ecadb7cc518f245095e93a5af4d1b34c6fbb75f2192cc91e2eb2bd465fb,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_mu_80.0.pth,73dbadc9cf1caa59d75faf4078f2453c8cfbc800a90d351d0ad90080327d6a91,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_model_final_tinyImageNet_mu_20.0.pth,404b6cf3662da113b7c78dddd3548813d5f966d93895b883242d59498a9e59df,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_10.0.pth,22f8b2d2e13ce78db4db2b514f8260a1bc8f2f924fc69f510de150386e2decfa,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_2.0.pth,b5e716ac1d5ca584ad843b0ec636e6c45dbfeecf25b6356e7e8596e57bea2b20,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
Soil_Labeled_Data/soilNet_di chuyen tu o C/checkpoints_VicReg/vicreg_projector_final_mu_20.0.pth,01b349aa15a6d67a1d2f9507799f1b4aea291357fd2b8d5d53350cf34b2e06c8,NONE,,,False,UNIQUE_DATA_ROOT_ARTIFACT,No Scope A/B SHA match; within-Scope-C copies with this hash: 1.
