duplicate_group_id,relation,group_size,relative_path,sha256,perceptual_hash,threshold
phash:900b2f159f98aec7,EXACT,2,unlabeled_images/M_70_80_L_10_20_01477.jpg,665e82970525fb089f0fefee1924e4612aca84980da79882517943ab81647207,000803356d660a91,5
phash:96b3882da255af57,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/IMG_0449_M_10_20_pale_yellow_M_40_50_light_brown_M_50_60_dark_brown.jpg,c3ada25d7a8de1805db06338913d490b063a4b52476b87a2d4002519e2fa0d5d,1023247841464a02,5
phash:96b3882da255af57,EXACT,2,unlabeled_images/M_70_80_L_10_20_01478.jpg,c3ada25d7a8de1805db06338913d490b063a4b52476b87a2d4002519e2fa0d5d,1023247841464a02,5
phash:4dab5b82f54d3326,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/IMG_0452_M_10_20_gray_brown_M_40_50_light_brown_M_50_60_gray_brown_M_60_70_clay_red.jpg,50028d35a97e25131a6146fb50ac05ae4d95db0b938a91d4d7900e1d944d7207,3262c30905058420,5
phash:4dab5b82f54d3326,EXACT,2,unlabeled_images/M_70_80_L_10_20_01479.jpg,50028d35a97e25131a6146fb50ac05ae4d95db0b938a91d4d7900e1d944d7207,3262c30905058420,5
phash:5e6bf15dae70f477,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/IMG_0453_M_10_20_gray_brown_M_40_50_light_brown_M_50_60_dark_brown.jpg,ba56487108ab72ae2cdc6f01b1afba57202d4c004dbfe8a21450dda87ed75616,111e0e0e4b0b1c1c,5
phash:5e6bf15dae70f477,EXACT,2,unlabeled_images/M_70_80_L_10_20_01480.jpg,ba56487108ab72ae2cdc6f01b1afba57202d4c004dbfe8a21450dda87ed75616,111e0e0e4b0b1c1c,5
phash:5a0eb1b1257ef56a,EXACT,2,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/IMG_0455_M_10_20_gray_brown_M_40_50_light_brown_M_50_60_gray_brown_M_60_70_clay_red.jpg,a9c0900226a829ae6eec50f0750f9890bcc3a65c8d5962b91b4b700489eb6f3b,490f076323030204,5
phash:5a0eb1b1257ef56a,EXACT,2,unlabeled_images/M_70_80_L_10_20_01481.jpg,a9c0900226a829ae6eec50f0750f9890bcc3a65c8d5962b91b4b700489eb6f3b,490f076323030204,5
phash:a218abd28b5d36df,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_70_80/L_10_20/alluvial/IMG_0462_M_10_20_pale_yellow_M_40_50_dark_brown_M_60_70_clay_red.jpg,65f0844630b88e213cfaa7f0c42150408b1fa3264dccf1668d1a441505f49b7a,0804220100020450,5
